id,fullName,rank
DansKnawCris::55169eb4cd2ff09e78bf7bbc1be5504a,"de Groot, Philip G.",7
DansKnawCris::55169eb4cd2ff09e78bf7bbc1be5504a,"Schaapherder, Alexander F.",8
DansKnawCris::55169eb4cd2ff09e78bf7bbc1be5504a,"Lindeman, Jan H.",9
RECOLECTA___::0b580baae1bfdc26df8efdb61faa14b3,Frisenda R.,1
RECOLECTA___::0b580baae1bfdc26df8efdb61faa14b3,Navarro-Moratalla E.,2
RECOLECTA___::0b580baae1bfdc26df8efdb61faa14b3,Gant P.,3
RECOLECTA___::0b580baae1bfdc26df8efdb61faa14b3,Pérez de Lara D.,4
RECOLECTA___::0b580baae1bfdc26df8efdb61faa14b3,Jarillo-Herrero P.,5
RECOLECTA___::0b580baae1bfdc26df8efdb61faa14b3,Gorbachev R.V.,6
RECOLECTA___::0b580baae1bfdc26df8efdb61faa14b3,Castellanos-Gomez A.,7
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,"Novillo Villajos, Apolonia",1
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,"Gaibar Alonso, María",2
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,"Romero Lorca, Alicia",3
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,"Chaabani, Hassen",4
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,"Adir, Nadir",5
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,"Moral, Pedro",6
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,"Esteban, María Esther",7
RECOLECTA___::0fbbc9ad58e95abc7b0df23e7b397c17,"Fernández Santander, Ana",8
RECOLECTA___::1111a0527979e602fde9d5148c514384,"Álvarez Urquiola, Mikel",1
RECOLECTA___::15a605a01c9d00c0f1ccb93be4eb4019,"Barragán Manjón, Mélany",1
RECOLECTA___::15a605a01c9d00c0f1ccb93be4eb4019,"Chavarría-Mora, Elías",2
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Almodóvar R,1
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Bueno Á,2
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Batlle E,3
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Beltrán-Catalán E,4
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Bernabeu D,5
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Castro Copete C,6
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Cepero A,7
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Crespo C,8
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Díez F,9
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Fernández-Carballido C,10
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,García Lorente F,11
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Gil De Miguel A,12
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Juanola X,13
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Linares L,14
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Montero Pérez-Barquero R,15
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Castro C,16
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Moreno Ramos MJ,17
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Moreno M,18
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Navarro-Compán V,19
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Pack C,20
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Quiles C,21
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Veintemillas M,22
RECOLECTA___::18e4d59103d36909cbe91679501fee1a,Zarco P,23
RECOLECTA___::200214e91b06101f18bff9fcaafb82ef,"Ormsby, Ross",1
RECOLECTA___::200214e91b06101f18bff9fcaafb82ef,"Paz Jiménez, Eva",2
RECOLECTA___::200214e91b06101f18bff9fcaafb82ef,"del Real Romero, Juan Carlos",3
RECOLECTA___::200214e91b06101f18bff9fcaafb82ef,"Dunne, Nicholas",4
RECOLECTA___::25f4802cdf31686b29ae17ec6294faaf,"Siles-Molina, Mercedes",1
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Loveland, W.",1
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Yao, L.",2
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Asner, D. M.",3
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Baker, R. G.",4
